"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"BAJAJELEC","Bajaj Electricals Limited","7(2)","SHRINIVAS SUBHASH GOKHALE","Employees/Designated Employees","Equity Shares","1000","0",,"1000","970000","Sell","Equity Shares","Nil","0","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","30-Sep-2024 18:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172064_1255392_30092024064257_WEB.xml"
"BAJAJELEC","Bajaj Electricals Limited","7(2)","SOUMYAJYOTI GHOSH","Employees/Designated Employees","Equity Shares","3500","0",,"3500","3454255","Buy","Equity Shares","7000","0.01","13-Sep-2024","13-Sep-2024","30-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 18:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172064_1255392_30092024064257_WEB.xml"
"BAJAJELEC","Bajaj Electricals Limited","7(2)","SOUMYAJYOTI GHOSH","Employees/Designated Employees","Equity Shares","Nil","0",,"3500","3440150","Buy","Equity Shares","3500","0","13-Sep-2024","13-Sep-2024","30-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 18:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172064_1255392_30092024064257_WEB.xml"
"QUICKHEAL","Quick Heal Technologies Limited","7(2)","Omkar Yekkundi","-","Equity Shares","2700","0",,"2500","1602059","Pledge Invoke","Equity Shares","200","0","25-Sep-2024","25-Sep-2024","27-Sep-2024","Invocation of pledge","-","-","0","0","0","0","NA","-","30-Sep-2024 18:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172062_1255352_30092024063156_WEB.xml"
"QUICKHEAL","Quick Heal Technologies Limited","7(2)","Omkar Yekkundi","-","Equity Shares","2700","0",,"2700","790298","Pledge","Equity Shares","2700","0","18-Sep-2024","18-Sep-2024","18-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","30-Sep-2024 18:31","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172062_1255352_30092024063156_WEB.xml"
"RAJMET","Rajnandini Metal Limited","7(2)","Het Ram","Promoters","Equity Shares","133580315","48.31",,"400000","4228880","Sell","Equity Shares","133180315","48.17","27-Sep-2024","27-Sep-2024","28-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:27","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172060_1255327_30092024062700_WEB.xml"
"PAGEIND","Page Industries Limited","7(2)","HIRDARAMANI VIJAY SADHNA","Promoters","Equity Shares","395614","3.55",,"100","4233212","Sell","Equity Shares","395514","3.55","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:24","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172058_1255313_30092024062453_WEB.xml"
"NDL","Nandan Denim Limited","7(2)","VEDPRAKASH CHIRIPAL","Promoter Group","Equity Shares","8488668","0.59",,"3156048","20924598","Sell","Equity Shares","5332620","0.37","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172056_1255296_30092024062221_WEB.xml"
"NDL","Nandan Denim Limited","7(2)","CHIRIPAL EXIM LLP","Promoter Group","Equity Shares","134605396","9.34",,"591896","3924270","Sell","Equity Shares","134013500","9.3","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172056_1255296_30092024062221_WEB.xml"
"NDL","Nandan Denim Limited","7(2)","BRIJMOHAN CHIRIPAL","Promoters","Equity Shares","68215000","4.73",,"19740000","135302308","Sell","Equity Shares","48475000","3.36","26-Sep-2024","27-Sep-2024","28-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172056_1255296_30092024062221_WEB.xml"
"LIBERTSHOE","Liberty Shoes Limited","7(2)","ARPAN GUPTA (KARTA) OF DINESH GUPTA (HUF)","Promoter Group","Equity Shares","347995","2.04",,"5901","3049775","Sell","Equity Shares","342094","2","24-Sep-2024","25-Sep-2024","26-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172055_1255292_30092024062129_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2579306","0.15",,"176","138939","Sell","Equity Shares","2579130","0.15","24-Sep-2024","24-Sep-2024","26-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172053_1255277_30092024061850_WEB.xml"
"JSWENERGY","JSW Energy Limited","7(2)","JSW Energy Employees Welfare Trust","Other","Equity Shares","2579130","0.15",,"747","575539","Sell","Equity Shares","2578383","0.15","26-Sep-2024","26-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:18","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172053_1255277_30092024061850_WEB.xml"
"RAJMET","Rajnandini Metal Limited","7(2)","Het Ram","Promoters","Equity Shares","134230315","48.55",,"650000","6891885","Sell","Equity Shares","133580315","48.31","26-Sep-2024","26-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 18:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172052_1255272_30092024061715_WEB.xml"
"SONATSOFTW","Sonata Software Limited","7(2)","MURALI KRISHNAN J","-","Equity Shares","173332","0.06",,"1","625","Sell","Equity Shares","173331","0.06","23-Sep-2024","24-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172048_1255181_30092024055511_WEB.xml"
"SONATSOFTW","Sonata Software Limited","7(2)","MURALI KRISHNAN J","-","Equity Shares","173331","0.06",,"18331","11570425","Sell","Equity Shares","155000","0.06","25-Sep-2024","26-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172048_1255181_30092024055511_WEB.xml"
"SONATSOFTW","Sonata Software Limited","7(2)","MURALI KRISHNAN J","-","Equity Shares","155000","0.06",,"5000","3155242","Sell","Equity Shares","150000","0.05","26-Sep-2024","27-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172048_1255181_30092024055511_WEB.xml"
"KOTAKBANK","Kotak Mahindra Bank Limited","7(3)","Virat S Diwanji","-","Equity Shares","101867","0",,"1000","1925958","Sell","Equity Shares","100867","0","24-Sep-2024","24-Sep-2024","29-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:46","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172045_1255136_30092024054629_WEB.xml"
"SWSOLAR","Sterling and Wilson Renewable Energy Limited","7(2)","Khurshed Yazdi Daruvala","Promoters","Equity Shares","3443662","1.48",,"3150000","2022300000","Pledge","Equity Shares","3443662","1.48","26-Sep-2024","26-Sep-2024","27-Sep-2024","Others","-","-","0","0","0","0","NA","-","30-Sep-2024 17:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172041_1255069_30092024053512_WEB.xml"
"SWSOLAR","Sterling and Wilson Renewable Energy Limited","7(2)","Shapoorji Pallonji And Company Private Limited","Promoters","Equity Shares","29701291","12.73",,"13500000","8414325900","Sell","Equity Shares","16201291","6.94","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172041_1255069_30092024053512_WEB.xml"
"SWSOLAR","Sterling and Wilson Renewable Energy Limited","7(2)","Khurshed Yazdi Daruvala","Promoters","Equity Shares","3443662","1.48",,"3150000","1984545045","Sell","Equity Shares","293662","0.13","27-Sep-2024","27-Sep-2024","28-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172041_1255069_30092024053512_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Neerav Parekh","Promoter Group","Equity Shares","2270078","0.45",,"11161","36717324","Sell","Equity Shares","2258917","0.44","26-Sep-2024","26-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172040_1255067_30092024053508_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Neerav Parekh","Promoter Group","Equity Shares","2258917","0.44",,"119009","398833516","Sell","Equity Shares","2139908","0.42","27-Sep-2024","27-Sep-2024","29-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172040_1255067_30092024053508_WEB.xml"
"DAMODARIND","Damodar Industries Limited","7(2)","Akshay Anil Biyani","Promoters","Equity Shares","391526","1.68",,"500","23134","Sell","Equity Shares","391026","1.68","27-Sep-2024","27-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172037_1255046_30092024053017_WEB.xml"
"DAMODARIND","Damodar Industries Limited","7(2)","Anil D Biyani","Director","Equity Shares","3042696","13.06",,"8","372","Sell","Equity Shares","3042688","13.06","27-Sep-2024","27-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:30","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172037_1255046_30092024053017_WEB.xml"
"SHALPAINTS","Shalimar Paints Limited","7(3)","Veera Gupta","-","Equity Shares","1037063","1.24",,"58069","8289959","Sell","Equity Shares","978994","1.17","24-Sep-2024","26-Sep-2024","26-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172034_1255037_30092024052548_WEB.xml"
"SHALPAINTS","Shalimar Paints Limited","7(3)","Veera Gupta","-","Equity Shares","978994","1.17",,"67000","9241590","Sell","Equity Shares","911994","1.09","27-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172034_1255037_30092024052548_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Alok Vij","Employees/Designated Employees","Equity Shares","2129","0",,"511","4190200","Sell","Equity Shares","1618","0","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172031_1254955_30092024050552_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Ajeet Singh Manral","Employees/Designated Employees","Equity Shares","25","0",,"25","204000","Sell","Equity Shares","Nil","0","30-Sep-2024","30-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172031_1254955_30092024050552_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","M Prabin Meitei","Employees/Designated Employees","Equity Shares","326","0",,"200","1608200","Sell","Equity Shares","126","0","27-Sep-2024","27-Sep-2024","28-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","30-Sep-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172031_1254955_30092024050552_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Sumeet Singh","Employees/Designated Employees","Equity Shares","82847","0.06",,"2000","15853930","Sell","Equity Shares","80847","0.06","26-Sep-2024","26-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172031_1254955_30092024050552_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","296958","0.23",,"13199","131990","Sell","Equity Shares","283759","0.22","26-Sep-2024","27-Sep-2024","28-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","30-Sep-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172031_1254955_30092024050552_WEB.xml"
"ARVINDFASN","Arvind Fashions Limited","7(2)","Darshil Jayesh Shah","Immediate relative","Equity Shares","160025","0.12",,"160000","95360000","Pledge Revoke","Equity Shares","160025","0.12","27-Sep-2024","27-Sep-2024","27-Sep-2024","Revokation of Pledge","-","-","0","0","0","0","NA","-","30-Sep-2024 17:05","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172030_1254953_30092024050545_WEB.xml"
"INFY","Infosys Limited","7(2)","Infosys Employee Benefits Trust","Other","Equity Shares","10238611","0.25",,"1350","2558655","Sell","Equity Shares","10237261","0.25","23-Sep-2024","23-Sep-2024","26-Sep-2024","Off Market","-","-","0","0","0","0","NA","-","30-Sep-2024 16:57","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172027_1254923_30092024045741_WEB.xml"
"BERGEPAINT","Berger Paints (I) Limited","7(2)","Srijit Dasgupta","Other","Equity Shares","110423","0.01",,"20000","12480817","Sell","Equity Shares","90423","0.01","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 16:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172025_1254918_30092024045640_WEB.xml"
"SHIVATEX","Shiva Texyarn Limited","7(2)","VEDANAYAGAM HOSPITAL PRIVATE LIMITED","Promoters","Equity Shares","8825466","68.08",,"265000","50350000","Sell","Equity Shares","8560466","66.04","27-Sep-2024","27-Sep-2024","30-Sep-2024","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","30-Sep-2024 16:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172022_1254907_30092024045440_WEB.xml"
"SHIVATEX","Shiva Texyarn Limited","7(2)","SUNDAR RAM ENTERPRISE PRIVATE LIMITED","Promoter Group","Equity Shares","544473","4.2",,"265000","50350000","Buy","Equity Shares","809473","6.24","27-Sep-2024","27-Sep-2024","30-Sep-2024","Inter-se-Transfer","-","-","0","0","0","0","BSE","-","30-Sep-2024 16:54","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172021_1254902_30092024045406_WEB.xml"
"TARACHAND","Tara Chand InfraLogistic Solutions Limited","7(2)","Ankita Aggarwal","Promoters","Equity Shares","200000","1.27",,"0","14400000","Buy","Equity Shares","200000","1.27","24-Sep-2024","24-Sep-2024","26-Sep-2024","Preferential Offer","-","-","0","0","0","0","NA","-","30-Sep-2024 16:43","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172018_1254863_30092024044321_WEB.xml"
"DEVIT","Dev Information Technology Limited","7(2)","Pratibhaben Mohanlal Desai","Promoter Group","Equity Shares","1275000","5.67",,"110000","16720000","Sell","Equity Shares","1165000","5.59","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 16:33","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172016_1254818_30092024043319_WEB.xml"
"MANGLMCEM","Mangalam Cement Limited","7(2)","ESTATE OF BASANT KUMAR BIRLA","Promoter Group","Equity Shares","Nil","0",,"11017","10180809","Buy","Equity Shares","11017","0.04","21-Sep-2024","27-Sep-2024","29-Sep-2024","Others","-","-","0","0","0","0","NA","-","30-Sep-2024 16:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172014_1254815_30092024043229_WEB.xml"
"MANGLMCEM","Mangalam Cement Limited","7(2)","Basant Kumar Birla","Promoter Group","Equity Shares","11017","0.04",,"11017","10180809","Sell","Equity Shares","Nil","0","21-Sep-2024","27-Sep-2024","29-Sep-2024","Others","-","-","0","0","0","0","NA","-","30-Sep-2024 16:32","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172014_1254815_30092024043229_WEB.xml"
"AMRUTANJAN","Amrutanjan Health Care Limited","7(2)","NAGESWARAMMA PRIVATE TRUST","Promoters","Equity Shares","2544530","8.8",,"832725","617115843","Sell","Equity Shares","1711805","5.92","26-Sep-2024","26-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 16:29","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172012_1254805_30092024042950_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Naveen Ahuja","Employees/Designated Employees","Equity Shares","4191","0",,"600","534576","Sell","Equity Shares","3591","0","25-Sep-2024","25-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172009_1254788_30092024042553_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Naveen Ahuja","Employees/Designated Employees","Equity Shares","4691","0",,"500","421000","Sell","Equity Shares","4191","0","20-Sep-2024","20-Sep-2024","20-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172009_1254788_30092024042553_WEB.xml"
"SHOPERSTOP","Shoppers Stop Limited","7(2)","Naveen Ahuja","Employees/Designated Employees","Equity Shares","3591","0",,"591","529270","Sell","Equity Shares","3000","0","26-Sep-2024","26-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172009_1254788_30092024042553_WEB.xml"
"AVALON","Avalon Technologies Limited","7(2)","Parameswaran J","Employees/Designated Employees","Equity Shares","2000","0",,"2000","1213812","Sell","Equity Shares","Nil","0","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 16:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172008_1254779_30092024042500_WEB.xml"
"RGL","Renaissance Global Limited","7(2)","Parag Shah","Employees/Designated Employees","Equity Shares","1944625","2.02",,"50000","6088478","Sell","Equity Shares","1894625","1.97","26-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 16:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172006_1254764_30092024042038_WEB.xml"
"UPL","UPL Limited","7(2)","Asha Arun Ashar","Immediate relative","Equity Shares","415322","0.06",,"8200","4981000","Sell","Equity Shares","407122","0.05","27-Sep-2024","27-Sep-2024","30-Sep-2024","Market Sale","-","-","0","0","0","0","-","-","30-Sep-2024 16:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172003_1254725_30092024040759_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Bharat Mehta","Employees/Designated Employees","Equity Shares","100000","0.02",,"2000","6564000","Sell","Equity Shares","98000","0.02","26-Sep-2024","26-Sep-2024","28-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 15:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172001_1254704_30092024035936_WEB.xml"
"PIDILITIND","Pidilite Industries Limited","7(2)","Bharat Mehta","Employees/Designated Employees","Equity Shares","98000","0.02",,"3000","10035000","Sell","Equity Shares","95000","0.01","27-Sep-2024","27-Sep-2024","28-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 15:59","https://nsearchives.nseindia.com/corporate/xbrl/IT_1172001_1254704_30092024035936_WEB.xml"
"FSL","Firstsource Solutions Limited","7(2)","Venkatgiri Vandali","Employees/Designated Employees","Equity Shares","843023","0.12",,"27779","9214419","Sell","Equity Shares","815244","0.12","26-Sep-2024","26-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 15:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171998_1254664_30092024034246_WEB.xml"
"JBCHEPHARM","JB Chemicals & Pharmaceuticals Limited","7(2)","Sandeep Nasa","Employees/Designated Employees","Equity Shares","48750","0.03",,"7000","13321803","Sell","Equity Shares","41750","0.03","25-Sep-2024","25-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 15:26","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171993_1254605_30092024032601_WEB.xml"
"MEGASOFT","Megasoft Limited","7(2)","Ramanagaram Enterprises Private Limited","Promoters","Equity Shares","26173115","35.48",,"300000","20661000","Sell","Equity Shares","25873115","35.07","27-Sep-2024","27-Sep-2024","27-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","30-Sep-2024 15:12","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171992_1254568_30092024031231_WEB.xml"
"CGCL","Capri Global Capital Limited","7(2)","Rajesh Sharma","Promoters","Equity Shares","4000","0",,"2500000","0","Buy","Equity Shares","2504000","0.3","24-Sep-2024","24-Sep-2024","26-Sep-2024","Gift","-","-","0","0","0","0","NA","-","30-Sep-2024 14:45","https://nsearchives.nseindia.com/corporate/xbrl/IT_1171989_1254520_30092024024517_WEB.xml"
